Model|R2 Score|MAE Score|Correctness|Vars|Dropping|MaeCV|Mae POST
Model 1| niestabilny numerycznie | e^{\frac{Effect of forex changes on cash - \overline{Effect of forex changes on cash}}{\sigma_{Effect of forex changes on cash}}}
Model 2| niestabilny numerycznie | grossProfitMargin^2
Model 3| niestabilny numerycznie | Total assets
Model 4| niestabilny numerycznie | EBITDA^2
Model 5| niestabilny numerycznie | Cash per Share^2
Model 6| niestabilny numerycznie | cashPerShare^3
Model 7| niestabilny numerycznie | priceToOperatingCashFlowsRatio^3
Model 8| niestabilny numerycznie | Total assets^3
Model 9| niestabilny numerycznie | operatingCashFlowPerShare^2
Model 10| niestabilny numerycznie | Operating Cash Flow^3
Model 11| niestabilny numerycznie | e^{\frac{Tangible Asset Value - \overline{Tangible Asset Value}}{\sigma_{Tangible Asset Value}}}
Model 12| niestabilny numerycznie | Net Income - Discontinued ops^2
Model 13| niestabilny numerycznie | e^{\frac{Cash per Share - \overline{Cash per Share}}{\sigma_{Cash per Share}}}
Model 14| niestabilny numerycznie | Average Receivables
Model 15| niestabilny numerycznie | e^{\frac{Inventories - \overline{Inventories}}{\sigma_{Inventories}}}
Model 16| niestabilny numerycznie | Average Inventory
Model 17| niestabilny numerycznie | longtermDebtToCapitalization
Model 18| niestabilny numerycznie | Gross Profit Growth^2
Model 19| niestabilny numerycznie | Profit Margin^3
Model 20| niestabilny numerycznie | e^{\frac{Debt to Equity - \overline{Debt to Equity}}{\sigma_{Debt to Equity}}}
Model 21| niestabilny numerycznie | Receivables Turnover^2
Model 22| niestabilny numerycznie | Gross Profit Growth
Model 23| niestabilny numerycznie | Total debt^3
Model 24| niestabilny numerycznie | freeCashFlowPerShare
Model 25| niestabilny numerycznie | priceToOperatingCashFlowsRatio
Model 26| niestabilny numerycznie | e^{\frac{Real Estate - \overline{Real Estate}}{\sigma_{Real Estate}}}
Model 27| niestabilny numerycznie | Investments^3
Model 28| niestabilny numerycznie | payoutRatio^2
Model 29| niestabilny numerycznie | Capex to Revenue^3
Model 30| niestabilny numerycznie | capitalExpenditureCoverageRatios
Model 31| niestabilny numerycznie | Investment purchases and sales^3
Model 32| niestabilny numerycznie | cashRatio^2
Model 33| niestabilny numerycznie | e^{\frac{Total liabilities - \overline{Total liabilities}}{\sigma_{Total liabilities}}}
Model 34| niestabilny numerycznie | Operating Income Growth^3
Model 35| niestabilny numerycznie | e^{\frac{3Y Net Income Growth (per Share) - \overline{3Y Net Income Growth (per Share)}}{\sigma_{3Y Net Income Growth (per Share)}}}
Model 36| niestabilny numerycznie | e^{\frac{Income Tax Expense - \overline{Income Tax Expense}}{\sigma_{Income Tax Expense}}}
Model 37| niestabilny numerycznie | Capex to Operating Cash Flow^3
Model 38| niestabilny numerycznie | e^{\frac{Revenue per Share - \overline{Revenue per Share}}{\sigma_{Revenue per Share}}}
Model 39| niestabilny numerycznie | debtRatio^2
Model 40| niestabilny numerycznie | Debt to Equity^3
Model 41| niestabilny numerycznie | Net Profit Margin^2
Model 42| niestabilny numerycznie | Investing Cash flow
Model 43| niestabilny numerycznie | Capex to Revenue^2
Model 44| niestabilny numerycznie | Preferred Dividends
Model 45| niestabilny numerycznie | interestCoverage
Model 46| niestabilny numerycznie | pretaxProfitMargin^2
Model 47| niestabilny numerycznie | 3Y Revenue Growth (per Share)^3
Model 48| niestabilny numerycznie | Revenue Growth
Model 49| niestabilny numerycznie | Weighted Average Shares Diluted Growth^2
Model 50| niestabilny numerycznie | e^{\frac{Market Cap - \overline{Market Cap}}{\sigma_{Market Cap}}}
Model 51| niestabilny numerycznie | Depreciation & Amortization^3
Model 52| niestabilny numerycznie | Free Cash Flow margin^3
Model 53| niestabilny numerycznie | Other Assets^2
Model 54| niestabilny numerycznie | Financing Cash Flow
